ano,id_respondente,idade,genero,cor_raca_etnia,pcd,estado_moradia,uf_moradia,regiao,nivel_ensino,area_formacao,situacao_trabalho,setor_empresa,porte_empresa,cargo,senioridade,faixa_salarial,tempo_experiencia_dados,tempo_experiencia_ti,forma_trabalho,forma_trabalho_ideal,salario_mensal_estimado,faixa_inferior,faixa_superior,satisfacao_empresa,atua_como_gestor,usa_ia,tipo_uso_ia,tipo_uso_ia_empresa,ia_prioridade_empresa
2023,2023-1280,32,Feminino,Branca,Não,São Paulo (SP),SP,Sudeste,Mestrado,Ciências Sociais,Empregado (CLT),Área da Saúde,de 1.001 a 3.000,Analista de Dados/Data Analyst,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Presencial,Hibrido,10000.5,8001.0,12000.0,0,0,1,Gratuita,"Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",
2023,2023-1281,37,Masculino,Branca,Não,São Paulo (SP),SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Indústria,Acima de 3.000,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Senior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Mais de 10 anos,Remoto,Remoto,10000.5,8001.0,12000.0,1,0,0,Nenhuma,"Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",
2023,2023-1282,29,Masculino,Parda,Não,São Paulo (SP),SP,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Marketing,de 11 a 50,Analista de BI/BI Analyst,Junior,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Remoto,Hibrido,7000.5,6001.0,8000.0,0,0,1,Gratuita,"Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",
2023,2023-1283,28,Masculino,Branca,Não,São Paulo (SP),SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor Farmaceutico,Acima de 3.000,Analista de Dados/Data Analyst,Senior,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,de 3 a 4 anos,Hibrido,Remoto,14000.5,12001.0,16000.0,0,0,1,Gratuita,"Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",
2023,2023-1284,32,Feminino,Parda,Não,Minas Gerais (MG),MG,Sudeste,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Setor Alimentício,de 1.001 a 3.000,Analista de Inteligência de Mercado/Market Intelligence,Senior,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Hibrido,Hibrido,10000.5,8001.0,12000.0,1,0,1,Gratuita,"Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",
2023,2023-1285,28,Masculino,Branca,Não,Bahia (BA),BA,Nordeste,Não tenho graduação formal,,"Desempregado, buscando recolocação",,,,Nao informado,,,,Nao informado,Nao informado,,,,,,,,,
2023,2023-1286,27,Masculino,Branca,Não,São Paulo (SP),SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Educação,Acima de 3.000,Analista de BI/BI Analyst,Senior,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,de 5 a 6 anos,Remoto,Remoto,7000.5,6001.0,8000.0,1,0,1,Gratuita,"Existe um direcionamento centralizado para que colaboradores utilizem soluções baseadas em AI Generativa (como o ChatGPT por exemplo), incluindo apoio nos custos das ferramentas.",
2023,2023-1287,37,Masculino,Preta,Não,Bahia (BA),BA,Nordeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor Público,de 101 a 500,Analista de BI/BI Analyst,Senior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Mais de 10 anos,Remoto,Remoto,10000.5,8001.0,12000.0,1,0,1,Gratuita,"Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",
2023,2023-1288,32,Masculino,Branca,Não,Espírito Santo (ES),ES,Sudeste,Graduação/Bacharelado,Outras Engenharias,"Desempregado, buscando recolocação",,,,Nao informado,,,,Nao informado,Nao informado,,,,,,,,,
2023,2023-1289,63,Masculino,Branca,Não,Rio de Janeiro (RJ),RJ,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor de Energia,de 501 a 1.000,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Senior,de R$ 30.001/mês a R$ 40.000/mês,Mais de 10 anos,de 7 a 10 anos,Hibrido,Hibrido,35000.5,30001.0,40000.0,1,0,1,Gratuita,"Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de aumentar a eficiencia de processos internos (como produtividade das equipes internas, ou melhoria de processos existentes).",
2023,2023-1290,29,Feminino,Branca,Não,São Paulo (SP),SP,Sudeste,Graduação/Bacharelado,Ciências Sociais,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,Analista de Dados/Data Analyst,Junior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Hibrido,Hibrido,5000.5,4001.0,6000.0,0,0,0,Nenhuma,"Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",
2023,2023-1291,27,Feminino,Branca,Não,São Paulo (SP),SP,Sudeste,Pós-graduação,Outra opção,Empregado (CLT),Varejo,Acima de 3.000,Outra Opção,Junior,de R$ 3.001/mês a R$ 4.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Hibrido,Hibrido,3500.5,3001.0,4000.0,0,0,1,Gratuita,Não sei opinar.,
2023,2023-1292,24,Outro,Branca,Não,São Paulo (SP),SP,Sudeste,Estudante de Graduação,Ciências Biológicas/ Farmácia/ Medicina/ Área da Saúde,Somente Estudante (graduação),,,,Nao informado,,,,Nao informado,Nao informado,,,,,,,,,
2023,2023-1293,39,Masculino,Branca,Não,Paraná (PR),PR,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,Acima de 3.000,Analista de Dados/Data Analyst,Senior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Remoto,Remoto,10000.5,8001.0,12000.0,1,0,1,Gratuita,"Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",
2023,2023-1294,36,Feminino,Outra,Não,Minas Gerais (MG),MG,Sudeste,Pós-graduação,Outras Engenharias,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Senior,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,de 1 a 2 anos,Remoto,Hibrido,14000.5,12001.0,16000.0,0,0,1,Gratuita,"Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de aumentar a eficiencia de processos internos (como produtividade das equipes internas, ou melhoria de processos existentes).",
2023,2023-1295,25,Masculino,Parda,Não,São Paulo (SP),SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Educação,Acima de 3.000,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Remoto,Remoto,7000.5,6001.0,8000.0,1,0,1,Gratuita,"Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",
2023,2023-1296,31,Feminino,Branca,Não,São Paulo (SP),SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Setor Alimentício,Acima de 3.000,,Gestao,de R$ 25.001/mês a R$ 30.000/mês,Mais de 10 anos,de 1 a 2 anos,Hibrido,Hibrido,27500.5,25001.0,30000.0,1,1,,,,"Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo)."
2023,2023-1297,32,Feminino,Preta,Não,São Paulo (SP),SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,Tecnologia/Fábrica de Software,Acima de 3.000,Outras Engenharias (não inclui dev),Senior,de R$ 20.001/mês a R$ 25.000/mês,Mais de 10 anos,Mais de 10 anos,Hibrido,Remoto,22500.5,20001.0,25000.0,0,0,1,Assistente de codigo,"Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",
2023,2023-1298,40,Feminino,Parda,Não,São Paulo (SP),SP,Sudeste,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,Acima de 3.000,Analista de Dados/Data Analyst,Senior,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,de 5 a 6 anos,Remoto,Remoto,14000.5,12001.0,16000.0,1,0,1,Paga,"Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Equipes de desenvolvimento utilizando soluções no estilo Copilot (Github Copilot, AWS CodeWhisperer etc) para obter mais produtividade no processo de desenvolvimento., Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc)",
2023,2023-1299,36,Masculino,Preta,Não,Sergipe (SE),SE,Nordeste,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empreendedor ou Empregado (CNPJ),Indústria,de 51 a 100,Cientista de Dados/Data Scientist,Senior,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 6 anos,de 3 a 4 anos,Remoto,Remoto,14000.5,12001.0,16000.0,0,0,1,Gratuita,"Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",
